date,gm,zone,name,stack,flag,picked_count
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,FK,Present,450
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,MYE,Future,12
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,MYE,Past,4
2026-05-01,Amitava Dutta,East,AshokNagarHub_PAT_PL,MYE,Present,30
2026-05-01,Amitava Dutta,East,BEHEAHUB_ARH_PL,FK,Future,10
2026-05-01,Amitava Dutta,East,BEHEAHUB_ARH_PL,FK,Present,43
2026-05-01,Amitava Dutta,East,BaleshwarHub_BAW_PL,EXT,Present,1
2026-05-01,Amitava Dutta,East,BaleshwarHub_BAW_PL,FK,Future,4
2026-05-01,Amitava Dutta,East,BaleshwarHub_BAW_PL,FK,Past,1
2026-05-01,Amitava Dutta,East,BaleshwarHub_BAW_PL,FK,Present,35
2026-05-01,Amitava Dutta,East,BankiPoreHub_PAT_PL,FK,Future,216
2026-05-01,Amitava Dutta,East,BankiPoreHub_PAT_PL,FK,Past,141
2026-05-01,Amitava Dutta,East,BankiPoreHub_PAT_PL,FK,Present,1796
2026-05-01,Amitava Dutta,East,BankiPoreHub_PAT_PL,MYE,Future,1
2026-05-01,Amitava Dutta,East,BankiPoreHub_PAT_PL,MYE,Past,11
2026-05-01,Amitava Dutta,East,BankiPoreHub_PAT_PL,MYE,Present,2
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,EXT,Future,9
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,EXT,Present,11
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,FK,Future,8
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,FK,Present,38
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,MYE,Future,3
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,MYE,Past,1
2026-05-01,Amitava Dutta,East,BariatuHub_IXR_PL,MYE,Present,5
2026-05-01,Amitava Dutta,East,BaripadaHub_BPO_PL,EXT,Future,1
2026-05-01,Amitava Dutta,East,BaripadaHub_BPO_PL,EXT,Past,1
2026-05-01,Amitava Dutta,East,BaripadaHub_BPO_PL,EXT,Present,1
2026-05-01,Amitava Dutta,East,BegusaraiHub_BGI_PL,EXT,Future,5
2026-05-01,Amitava Dutta,East,BegusaraiHub_BGI_PL,EXT,Present,5
2026-05-01,Amitava Dutta,East,BegusaraiHub_BGI_PL,FK,Future,1
2026-05-01,Amitava Dutta,East,BegusaraiHub_BGI_PL,FK,Present,25
2026-05-01,Amitava Dutta,East,BegusaraiHub_BGI_PL,MYE,Future,133
2026-05-01,Amitava Dutta,East,BegusaraiHub_BGI_PL,MYE,Present,28
2026-05-01,Amitava Dutta,East,BerhampurHub_BMP_PL,EXT,Future,7
2026-05-01,Amitava Dutta,East,BerhampurHub_BMP_PL,EXT,Present,5
2026-05-01,Amitava Dutta,East,BerhampurHub_BMP_PL,FK,Future,2
2026-05-01,Amitava Dutta,East,BerhampurHub_BMP_PL,FK,Past,1
2026-05-01,Amitava Dutta,East,BerhampurHub_BMP_PL,FK,Present,27
2026-05-01,Amitava Dutta,East,BerhampurHub_BMP_PL,MYE,Future,1
2026-05-01,Amitava Dutta,East,BettiahHub_BTH_PL,FK,Future,32
2026-05-01,Amitava Dutta,East,BettiahHub_BTH_PL,FK,Present,113
2026-05-01,Amitava Dutta,East,BettiahHub_BTH_PL,MYE,Future,1
2026-05-01,Amitava Dutta,East,BettiahHub_BTH_PL,MYE,Present,1
2026-05-01,Amitava Dutta,East,BhadrakHub_BHC_PL,FK,Present,1
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,EXT,Future,1
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,EXT,Past,1
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,EXT,Present,15
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,FK,Future,59
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,FK,Past,17
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,FK,Present,459
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,MYE,Past,2
2026-05-01,Amitava Dutta,East,BhagalpurHub_BGP_PL,MYE,Present,11
2026-05-01,Amitava Dutta,East,BhilaiHub_BIA_PL,EXT,Present,1
2026-05-01,Amitava Dutta,East,BhilaiHub_BIA_PL,FK,Future,42
2026-05-01,Amitava Dutta,East,BhilaiHub_BIA_PL,FK,Past,102
2026-05-01,Amitava Dutta,East,BhilaiHub_BIA_PL,FK,Present,839
2026-05-01,Amitava Dutta,East,BhilaiHub_BIA_PL,MYE,Future,3
2026-05-01,Amitava Dutta,East,BhilaiHub_BIA_PL,MYE,Present,4
2026-05-01,Amitava Dutta,East,BhubaneswarHub_BBI_PL,EXT,Past,1
2026-05-01,Amitava Dutta,East,BhubaneswarHub_BBI_PL,EXT,Present,1
2026-05-01,Amitava Dutta,East,BhubaneswarHub_BBI_PL,FK,Future,1
2026-05-01,Amitava Dutta,East,BhubaneswarHub_BBI_PL,FK,Present,113
2026-05-01,Amitava Dutta,East,BhubaneswarHub_BBI_PL,MYE,Future,7
2026-05-01,Amitava Dutta,East,BhubaneswarHub_BBI_PL,MYE,Present,7
2026-05-01,Amitava Dutta,East,BiharSharifHub_BSF_PL,FK,Future,2
2026-05-01,Amitava Dutta,East,BiharSharifHub_BSF_PL,FK,Present,175
