date,gm,zone,name,stack,flag,picked_count,MH
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Future,110,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Past,32,NA
07-08-2026,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Present,1845,NA
07-08-2026,Akash Sharma,North,NAGAURODH_NGR_PL,EXT,Past,1,NA
07-08-2026,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Future,27,NA
07-08-2026,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Past,14,NA
07-08-2026,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Present,195,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,EXT,Future,14,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,EXT,Past,5,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,EXT,Present,9,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,FK,Future,66,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,FK,Past,5,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,FK,Present,3042,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,MYE,Future,50,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,MYE,Past,1,NA
07-08-2026,Akash Sharma,North,PaliHub_PAL_PL,MYE,Present,110,NA
07-08-2026,Akash Sharma,North,PilaniHub_PIL_PL,EXT,Past,1,NA
07-08-2026,Akash Sharma,North,PilaniHub_PIL_PL,EXT,Present,1,NA
07-08-2026,Akash Sharma,North,PilaniHub_PIL_PL,FK,Future,1,NA
07-08-2026,Akash Sharma,North,PilaniHub_PIL_PL,FK,Past,27,NA
07-08-2026,Akash Sharma,North,PilaniHub_PIL_PL,FK,Present,649,NA
07-08-2026,Akash Sharma,North,PilaniHub_PIL_PL,MYE,Present,25,NA
07-08-2026,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Future,13,NA
07-08-2026,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Past,7,NA
07-08-2026,Akash Sharma,North,ShyamnagarHub_JAI_PL,FK,Present,135,NA
07-08-2026,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYE,Future,5,NA
07-08-2026,Akash Sharma,North,ShyamnagarHub_JAI_PL,MYE,Present,27,NA
07-08-2026,Akash Sharma,North,SikarHub_SIK_PL,EXT,Past,28,NA
07-08-2026,Akash Sharma,North,SikarHub_SIK_PL,EXT,Present,490,NA
07-08-2026,Akash Sharma,North,SikarHub_SIK_PL,FK,Future,67,NA
07-08-2026,Akash Sharma,North,SikarHub_SIK_PL,FK,Past,14,NA
07-08-2026,Akash Sharma,North,SikarHub_SIK_PL,FK,Present,1300,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Future,40,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Past,18,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,EXT,Present,320,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Future,2509,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Past,372,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,FK,Present,85444,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Future,1370,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Past,80,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,MYE,Present,6056,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Future,1652,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Past,414,NA
07-08-2026,Akash Sharma,North,SitapuraHub_JAI_PL,MYS,Present,23322,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Future,6,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Past,3,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,EXT,Present,11,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Future,454,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Past,21,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,FK,Present,800,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,MYE,Future,8,NA
07-08-2026,Akash Sharma,North,SriGanganagarHub_SGN_PL,MYE,Present,13,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Future,12,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Past,17,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,EXT,Present,61,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,FK,Future,172,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,FK,Past,30,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,FK,Present,2380,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,MYE,Future,180,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,MYE,Past,6,NA
07-08-2026,Akash Sharma,North,UdaipurHub_UDR_PL,MYE,Present,196,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,EXT,Future,32,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,EXT,Past,29,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,EXT,Present,298,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,FK,Future,3331,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,FK,Past,2261,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,FK,Present,91755,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,MYE,Future,720,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,MYE,Past,32,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,MYE,Present,1416,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,MYS,Future,243,NA
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,MYS,Past,74,NA
